"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type"
"FBXO21",0,-1.08906848097241,0.285121785008271,-3.81966071424818,0.549491782511369,1,0.000199385713989403,0.0353047929917171,0.000133635365002951,"InMGE_LGE"
"FGD3",0,1.08879437577962,0.228449805810757,4.76601138668315,0.449695058961421,1,7.29734429619954e-05,0.00376792786938342,1.87908644369161e-06,"InMGE_LGE"
"CDK16",0.000681499099365577,1.07234909090005,0.277010000381793,3.87115659875843,0.280361774719578,0.745580406248261,2.9097018890475e-05,0.0327049553211708,0.000108320173763045,"InMGE_LGE"
"NDUFA13",0.0464382208942393,1.02658700949355,0.3063609247485,3.35090713783522,0.586640029168687,0.848869415038552,0.000181824292367344,0.0920198571770202,0.000805473081511651,"InMGE_LGE"
"CDK9",0.146519625036286,0.9640575647594,0.291306190349202,3.30943040930143,0.273357309273343,0.635101449117001,1.7084450297183e-05,0.0940869841259359,0.00093486002680135,"InMGE_LGE"
"GAK",0.144511669784312,0.90947259258564,0.273618047845721,3.32387647578877,0.16357059800486,1,3.09047111106327e-05,0.0935484340742559,0.000887755080509221,"InMGE_LGE"
"SMARCB1",0.000703262422056729,0.905651380034348,0.271590700369564,3.33461852265925,0.462020563695745,1,0.000156076232968297,0.0935484340742559,0.000854164905695392,"InMGE_LGE"
"OCIAD1",0.00246920057838628,0.902536517678351,0.249841725183946,3.61243309945069,0.816350598365238,1,0.000210746692923098,0.0512882843062904,0.00030333738056713,"InMGE_LGE"
"TMEFF1",0,0.861848836417616,0.21025329904832,4.09909780402327,0.645056803877199,0.946958735759781,1.09301414718884e-05,0.0175320637434041,4.14763750731112e-05,"InMGE_LGE"
"PDZD4",0.263876258195709,0.860225972777924,0.244829191337323,3.51357600815139,4.07540392387124e-10,0.785901842567152,6.07355778173055e-05,0.0595352741718371,0.000442117902662989,"InMGE_LGE"
"GPSM1",0,0.827979257654816,0.208740899218223,3.96654062886462,0.453663059661223,0.689761034086949,1.61412710209437e-05,0.0256872498637068,7.29233495066197e-05,"InMGE_LGE"
"POU3F3",0.0577896145915884,0.827090263567764,0.155420873157645,5.32161637471203,0.526837948657513,0.709430576192051,0.000330626641994521,0.000434743920318008,1.02849283254793e-07,"InMGE_LGE"
"MLLT6",0.16262504805695,0.800277221366351,0.225096701908634,3.55525964876722,0.359557404860993,0.719590776233426,2.27612052446543e-05,0.0578271136576504,0.000377605999419661,"InMGE_LGE"
"PAGR1",0.0019248994230056,0.794622529147879,0.188918130051164,4.20617401269362,0.221621798666057,0.52524537202605,3.80476315547889e-06,0.0137234984909133,2.59730276620077e-05,"InMGE_LGE"
"OBSCN",0.245882170027214,0.763143298328916,0.208777716308839,3.65529095643531,8.81192557975823e-07,1,2.38348014094445e-05,0.0506454277231525,0.000256890462402137,"InMGE_LGE"
"SPTBN2",0,0.759437188426626,0.19726935431276,3.84974742312269,0.904065451178004,1,1.72093670010668e-05,0.0333199446635414,0.000118239690076442,"InMGE_LGE"
"CD276",0.121864587289506,0.744436630286482,0.221462312545673,3.36145966204952,0.369335811612287,0.803714207571743,1.94619765175554e-05,0.0910351146511466,0.000775316803274492,"InMGE_LGE"
"NDUFV3",0.114564755200586,0.735551028116525,0.195000668502754,3.77204362305116,0.108397325216844,0.716172261509876,7.62772490368616e-05,0.0380232596205692,0.000161915938767505,"InMGE_LGE"
