"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type","cell_type_long"
"HDAC8",0.0615188028326447,-0.558841141139121,0.195709594054474,-2.85546114302181,0.543378770681065,1,4.46310265471072e-05,0.0887643251352463,0.00429743811172311,"ExN","Newly born excit. (ExN)"
"TMSB15A",0.238877514633637,-0.536541767822574,0.180670761243035,-2.96972107789389,7.77841993584738e-11,0.585454656729538,0.000389583372581515,0.0726000617126389,0.00298070249995133,"ExN","Newly born excit. (ExN)"
"NDUFS4",0.211639271406293,-0.531000433663697,0.169355143942872,-3.13542548104011,4.33584469963973e-07,0.749271723479339,0.000147490632313214,0.0513957035415364,0.00171605020172075,"ExN","Newly born excit. (ExN)"
"COX5B",0,-0.529607484468067,0.185084690978443,-2.86143322642363,0.664052957441731,0.533193865030497,0.000244786781624565,0.0880403607176264,0.00421730330715594,"ExN","Newly born excit. (ExN)"
"CNBP",0.164294569565819,-0.522488264023401,0.156099510139391,-3.34714864612221,0.0269343463989938,0.588163995894701,0.000237283442948913,0.0274757317318037,0.000816474164985151,"ExN","Newly born excit. (ExN)"
"ZNF75A",0.0580195754287928,0.520897092674899,0.116323996960495,4.47798482072279,0.251995909788783,0.709918840079448,6.89719017175752e-05,0.000805986138498714,7.53509578563071e-06,"ExN","Newly born excit. (ExN)"
"NINL",0.00107310904951827,0.520363356769923,0.123564695071027,4.2112624198264,0.513951520698146,0.823473892262828,5.97410324752176e-05,0.00195018686237788,2.539475380058e-05,"ExN","Newly born excit. (ExN)"
"NDUFV3",0.166325704062158,0.515151673046746,0.141556322926087,3.63919931231705,0.00655698404335426,0.710775842763693,8.86309966630427e-05,0.013651562864884,0.000273487069079479,"ExN","Newly born excit. (ExN)"
"AKT2",0.191316449702507,0.51474792673781,0.173307711687917,2.97013861486291,0.000339070510258429,0.716181086057838,2.81612239344063e-05,0.0726000617126389,0.00297665402543764,"ExN","Newly born excit. (ExN)"
"SF3B5",0.126173519160258,-0.498285490578654,0.12762439963503,-3.90431212216166,0.0525165987734535,0.746117248959768,0.000115537442006561,0.0060214644290888,9.44937656651665e-05,"ExN","Newly born excit. (ExN)"
"MDH2",0.161704541508519,-0.492456821886584,0.145507015409431,-3.38441978554023,0.00807304067783489,0.641551842004033,0.000112654915753961,0.0255547601512832,0.000713288573691327,"ExN","Newly born excit. (ExN)"
